得意先[    100]-[ 200000] ＊＊ 得意先ﾌﾟﾙｰﾌﾘｽﾄ ＊＊ DATE : 2025/05/22(13:51),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
得意先CD,得意先名ｶﾅ,得意先名,得意先(略),郵便番号,住所1,住所2,E-mail,備考,電話番号,FAX番号,担当者CD,担当者名,請求先CD,売上区分,税区分(売掛),税端数(売掛),税区分(現金),税端数(現金),締ｸﾞﾙｰﾌﾟ,合計請求書,請求明細書,入金予定日,入金方法,単価管理,単価ｸﾞﾙｰﾌﾟ,掛率,金額端数,登録日,最終更新日
30636,ヒシノサト(デイサービス),有限会社　菱の里(ﾃﾞｲ-ｻｰﾋﾞｽ),有限会社　菱の里(ﾃﾞｲ,899-7301,鹿児島県曽於郡大崎町菱田2780-1,,,,,,439,末永,30636,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,1,2020/5/21,2024/9/5
30638,ジャパンファームノガタ,株式会社　ジャパンファーム(野方),株式会社　ジャパンフ,899-8313,鹿児島県曽於郡大崎町野方3887,,,,,,439,末永,30638,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,3,2020/5/21,2024/9/5
30642,グリ－ンフィールド,株式会社グリーンフィールド,株式会社グリーンフィ,893-1603,鹿屋市串良町岡崎2793-1,,,,0994-45-5392,0994-63-3100,439,末永,30642,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,3,2020/5/21,2024/9/5
30643,マエダセンター,前田センター,前田センター,,,,,,,,439,末永,30643,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,3,2020/5/21,2024/9/5
30644,トクロウルーピンノサト,特別養護老人ﾎｰﾑﾙｰﾋﾟﾝの里,特別養護老人ﾎｰﾑﾙｰﾋﾟﾝ,893-1612,肝属郡東串良町池之原2077-1,,,,0994-63-0700,0994-63-0702,439,末永,30644,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,3 振込,1 個別単価,,,2,2020/5/25,2024/9/5
30645,ルーピンノサトヒガシクシラ,グループホームるーぴんのさと　(東串良),ｸﾞﾙｰﾌﾟﾎｰﾑるｰぴんのさ,893-1612,肝属郡東串良町池之原2077-1,,,,,,439,末永,30645,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,1ヶ月後20日払,3 振込,1 個別単価,,,2,2020/5/25,2024/9/5
30646,ルーピンノサトオオサキ,グループホームるーぴんのさと　(大崎),ｸﾞﾙｰﾌﾟﾎｰﾑるｰぴんのさ,893-1612,肝属郡東串良町池之原2077-1,,,,,,439,末永,30646,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,1ヶ月後20日払,3 振込,1 個別単価,,,2,2020/5/25,2024/9/5
30647,マルゴ,有限会社　丸五,有限会社 丸五,899-7402,志布志市有明町野井倉5739-1,,,,,,439,末永,30647,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,3 振込,1 個別単価,,,1,2020/5/25,2024/9/5
30649,ソオイシカイリツビョウイン,曽於医師会立病院,曽於医師会立病院,899-8212,曽於市大隅町月野894,,,,099-482-4888,,439,末永,30649,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,3 振込,1 個別単価,,,1,2020/5/25,2024/9/24
30650,アリアケエン,曽於医師会立介護老人保健施設ありあけ苑,曽於医師会立介護老人,899-7402,志布志市有明町野井倉8288-1,,,,099-477-2331,,439,末永,30650,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,3 振込,1 個別単価,,,1,2020/5/25,2024/9/24
30652,ユウユウノモリ,社会福祉法人幸寿会　ゆうゆうの森,社会福祉法人幸寿会,888-0004,宮崎県串間市大字串間1094番地,,,,,,439,末永,30652,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,2,2020/5/25,2024/9/5
30655,ソオイシカイリツホウモンカンゴステーショ,曽於医師会立訪問看護ステーション,曽於医師会立訪問看護,899-7402,志布志市有明町野井倉8288-1,,,,099-471-6388,,439,末永,30655,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,3 振込,1 個別単価,,,1,2020/5/25,2024/9/5
30657,ホテルシブシ,ホテル志布志,ホテル志布志,899-7103,鹿児島県志布志市志布志町志布志,3丁目24-2,,,099-478-8888,099-833-3488,439,末永,30657,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,2,2020/5/25,2024/9/5
30659,ノガタデヘソカイ,野方ｄｅへそ会,野方deへそ会,899-8313,鹿児島県曽於郡大崎町野方,6222番地1,,,,,690,金城,30659,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,2,2020/5/25,2024/2/17
30661,ヤマダスイサン ウナギノエキ,山田水産株式会社　うなぎの駅,山田水産株式会社　う,899-7103,鹿児島県志布志市志布志町志布志,1286番8,,,,,690,金城,30661,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,3 振込,1 個別単価,,,1,2020/5/25,2024/2/17
30662,サツキエン ユッタリカン,株式会社　さつき苑(湯ったり館),株式会社　さつき苑(,899-4632,鹿児島県垂水市牛根麓1038-1,,,旧　財宝温泉　湯ったり館,0994-34-2237,0994-34-2238,690,金城,30662,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,3 振込,1 個別単価,,,1,2020/5/25,2024/2/17
30663,オカモトショウテン,岡元商店,岡元商店,899-8313,鹿児島県曽於郡大崎町野方2802-3,,,,099-478-3352,,690,金城,30663,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,1,2020/5/25,2024/2/17
30664,ダマスクノカゼ,ダマスクの風株式会社,ﾀﾞﾏｽｸの風株式会社,891-2302,鹿児島県鹿屋市小薄町4994-2,,,,0994-46-5627,,690,金城,30664,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,2,2020/5/25,2024/9/5
30665,クロウサギ,黒兎,黒兎,144-0055,東京都大田区仲六郷2-20-10　サザンフロント雑色101,,,,03-6426-1796,,95,林(香),30665,1 売掛,2 伝票単位,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,3 振込,1 個別単価,,,2,2020/5/25,2024/5/9
30666,ミチノエキタルミズハマビラ,道の駅たるみずはまびら,道の駅たるみずはまび,891-2115,鹿児島県垂水市浜平2036番地6,,,,0994-45-5727,0994-45-5728,690,金城,30666,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,3 振込,1 個別単価,,,2,2020/5/25,2024/2/17
30671,クンプウサボウ,薫風茶房,薫風茶房,899-7603,鹿児島県志布志市松山町尾野見33-1,,,,099-487-9541,,690,金城,30671,1 売掛,2 伝票単位,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,3,2020/6/13,2024/12/20
30672,ハコダテツタヤショテン,函館蔦屋書店　株式会社,函館蔦屋書店 株式会,041-0802,北海道函館市石川町85-1,,,,0138-47-3771,,95,林(香),30672,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,3 振込,1 個別単価,,,3,2020/6/13,2024/9/5
30673,サンメレ,株式会社サンメレ,株式会社ｻﾝﾒﾚ,167-0032,東京都杉並区天沼1-28-21,,,,,,95,林(香),30673,1 売掛,2 伝票単位,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,3 振込,1 個別単価,,,1,2020/6/19,2025/4/23
30674,コープカゴシマ,生活協同組合コープかごしま　経理課,生活協同組合コープか,890-0037,鹿児島市広木一丁目1番1号,,,,099-286-1123,099-253-0320,690,金城,30674,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,1,2020/6/23,2024/9/5
30675,コープカゴシマ　ムラサキバルテン,生活協同組合コープかごしま紫原店(7201),生活協同組合コープか,890-0082,鹿児島市紫原四丁目7番5号,,,,099-257-1231,,690,金城,30674,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,3,2020/6/23,2024/9/5
30676,コープカゴシマ　タニヤマテン,生活協同組合コープかごしま谷山店(7202),生活協同組合コープか,891-0113,鹿児島市東谷山二丁目35番22号,,,,099-267-2155,,690,金城,30674,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,3,2020/6/23,2024/9/5
30677,コープカゴシマ　ミナミタニヤマテン,生活協同組合コープかごしま南谷山店(7203),生活協同組合コープか,891-0141,鹿児島市谷山中央七丁目30番10号,,,,099-269-6611,,690,金城,30674,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,3,2020/6/23,2024/9/5
30678,コープカゴシマ　タガミテン,生活協同組合コープかごしま田上店(7204),生活協同組合コープか,890-0037,鹿児島市広木一丁目1番1号,,,,099-286-1080,,690,金城,30674,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,3,2020/6/23,2024/9/5
30679,コープカゴシマ　セイリョウテン,生活協同組合コープかごしま西陵店(7205),生活協同組合コープか,890-0032,鹿児島市西陵一丁目1番11号,,,,099-282-5005,,690,金城,30674,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,3,2020/6/23,2024/9/5
30680,コープカゴシマ　ジョウセイテン,生活協同組合コープかごしま城西店(7206),生活協同組合コープか,890-0025,鹿児島市原良町一丁目2-3,,,,099-253-6166,,690,金城,30674,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,3,2020/6/23,2024/9/5
30681,コープカゴシマ　アラタテン,生活協同組合コープかごしま荒田店(7207),生活協同組合コープか,890-0056,鹿児島市下荒田2丁目2番3,,,,099-255-8827,,690,金城,30674,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,3,2020/6/23,2024/9/5
30682,コープカゴシマ　ヨシノテン,生活協同組合コープかごしま吉野店(7208),生活協同組合コープか,892-0871,鹿児島市吉野町2381-6,,,,099-243-8221,,690,金城,30674,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,3,2020/6/23,2024/9/5
30683,コープカゴシマ　ギョクリュウテン,生活協同組合コープかごしま玉竜店(7209),生活協同組合コープか,892-0806,鹿児島市池之上町12-12,,,,099-247-7731,,690,金城,30674,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,3,2020/6/23,2024/9/5
30684,コープカゴシマ　センダイテン,生活協同組合コープかごしま川内店(7210),生活協同組合コープか,895-0072,鹿児島県川内市中郷一丁目19-2,,,,0996-20-5336,,690,金城,30674,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,3,2020/6/23,2024/9/5
30685,コープカゴシマ　イブスキテン,生活協同組合コープかごしま指宿店(7211),生活協同組合コープか,891-0403,鹿児島県指宿市十二町44-1,,,,0993-24-5241,,690,金城,30674,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,3,2020/6/23,2024/9/5
30686,コープカゴシマ　カノヤテン,生活協同組合コープかごしまかのや店(7212),生活協同組合コープか,893-0013,鹿屋市札元二丁目3785-1,,,,0994-41-5671,,690,金城,30674,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,3,2020/6/23,2024/9/5
30687,コープカゴシマ　カセダテン,生活協同組合コープかごしまかせだ店(7213),生活協同組合コープか,897-0001,鹿児島県南さつま市加世田村原一丁目4番12号,,,,0993-52-0512,,690,金城,30674,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,3,2020/6/23,2024/9/5
30688,コープカゴシマ　シブシテン,生活協同組合コープかごしましぶし店(7214),生活協同組合コープか,899-7104,鹿児島県志布志市志布志町安楽589-2,,,,099-473-1008,,690,金城,30674,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,3,2020/6/23,2024/9/5
30689,コープカゴシマ　コクブテン,生活協同組合コープかごしま国分店(7215),生活協同組合コープか,899-4346,鹿児島県霧島市国分府中町一丁目53-1,,,,0995-45-5517,,690,金城,30674,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,3,2020/6/23,2024/9/5
30690,コープカゴシマ　アイラテン,生活協同組合コープかごしま姶良店(7216),生活協同組合コープか,899-5431,鹿児島県姶良市西餅田3328-1,,,,0995-67-6577,,690,金城,30674,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,3,2020/6/23,2024/9/5
30691,コープカゴシマ　イズミテン,生活協同組合コープかごしま出水店(7217),生活協同組合コープか,899-0212,鹿児島県出水市上知識町868,,,,0996-63-7878,,690,金城,30674,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,3,2020/6/23,2024/9/5
30692,コープカゴシマ　イジュウインテン,生活協同組合コープかごしま伊集院店(7218),生活協同組合コープか,899-2502,鹿児島県日置市伊集院町徳重一丁目8番地5,,,,099-272-0555,,690,金城,30674,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,3,2020/6/23,2024/9/5
30693,コープカゴシマ　ウスキテン,生活協同組合コープかごしま宇宿店(7219),生活協同組合コープか,890-0037,鹿児島市広木三丁目6-1,,,,099-284-7350,,690,金城,30674,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,3,2020/6/23,2024/9/5
30694,テンプラミヤシロ,天婦羅みやしろ,天婦羅みやしろ,153-0051,東京都目黒区上目黒2-18-11,,,,03-6452-2808,,95,林(香),30694,1 売掛,2 伝票単位,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,3 振込,1 個別単価,,,3,2020/6/28,2023/10/2
30695,マッチャビヨンド,Matcha and Beyond,Matcha and Beyond,,C/c Matcha and Beyond33 Tedworth Square SW3 4DW LondonUnite,,,,+44 7919 558001,,98,ラファエル,30695,1 売掛,4 無処理,3 切り上げ,4 無処理,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,3,2020/6/29,2023/10/2
30696,ヨコミネ,ヨコミネ株式会社,ヨコミネ株式会社,899-7402,鹿児島県志布志市有明町野井倉8474-5,,,,099-471-4600,,430,鈴木,30696,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後10日払,3 振込,1 個別単価,,,2,2020/7/20,2024/9/5
30697,ポケットマルシェ,株式会社　雨風太陽,株式会社　雨風太陽,151-0051,東京都渋谷区千駄ケ谷,3-26-5　金子ビル3F,,旧社名　株式会社ポケットマルシェ,03-5843-1858,,95,林(香),30697,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,3 振込,1 個別単価,,,3,2020/7/31,2023/10/2
30700,プラックティーインク,Pluck Tea Inc.,Pluck Tea Inc.,,89 Research Rd. Suite 200 Toronto ON M3G 2G8,,,,(416)882-7787,,91,下平,30700,1 売掛,4 無処理,3 切り上げ,4 無処理,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,9 その他,1 個別単価,,,3,2020/8/30,2023/10/2
30701,ザファーム,株式会社ザファーム,株式会社ザファーム,287-0103,千葉県香取市西田部1309-29　　,THE FARM本部（LDHFarm） 髙橋 智則宛,,,,,95,林(香),30701,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,3,2020/9/13,2024/2/17
30703,キュウシュウケイザイレンゴウカイ,九州経済連合会,九州経済連合会,810-0004,福岡市中央区渡辺通2丁目１-82,電気ビル共創館6階(九経連内),,,092-761-4261　,,95,林(香),30703,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,3,2020/10/1,2023/10/2
30704,ティエヴォリュション,TEAEVOLUTION,TEAEVOLUTION,,tancsis Mihady ut.30 H-2021 Tahitotfalu Hungary,,,,,,98,ラファエル,30704,1 売掛,4 無処理,3 切り上げ,4 無処理,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,3,2020/10/1,2023/10/2
30705,レアティー,RARE TEA,RARE TEA,,rare tea ltd62 Blandford Street London W1U 7JDUnited King,,,,,,98,ラファエル,30705,1 売掛,4 無処理,3 切り上げ,4 無処理,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,3,2020/10/7,2023/10/2
30709,ティタイムフォーユー,Tea Time For You,Tea Time For You,,スイス,,,,41762465551,,98,ラファエル,30709,1 売掛,4 無処理,3 切り上げ,4 無処理,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,3,2020/11/19,2023/10/2
30710,チャノミツルエン,茶ノ実鶴園株式会社,茶ノ実鶴園株式会社,,ベルギ・国内（京都店）,,,  旧　The Tea Crane,9042927496,,98,ラファエル,30710,1 売掛,2 伝票単位,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,3,2020/11/26,2024/9/5
30711,ブルーノ,ＢＲＵＮＯ　株式会社,ＢＲＵＮＯ　株式会社,108-0014,東京都港区芝5-13-18,いちご三田ビル8F,,(旧)　株式会社イデアインターナショナル,03-5446-9517,,95,林(香),30711,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,3 振込,1 個別単価,,,3,2020/11/30,2024/9/5
30712,エルディーエイチキッチンナカメグロ,株式会社 LDH kitchen AMAZING COFFEE 中目黒,株式会社 LDH kitchen,153-0042,東京都目黒区青葉台1-18-7カスタリア中目黒1F6区画,,,,03-6712-7906,,95,林(香),30717,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,3 振込,1 個別単価,,,3,2020/12/4,2023/10/2
30713,エルディーエイチキッチンシブヤ,株式会社 LDH kitchen AMAZING COFFEE 渋谷,株式会社 LDH kitchen,150-0042,東京都渋谷区宇田川町15-1 渋谷PARCO3F,,,,03-5422-3950,,95,林(香),30717,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,3 振込,1 個別単価,,,3,2020/12/4,2023/10/2
30714,エルディーエイチキッチンオオサカ,株式会社 LDH kitchen AMAZING COFFEE 大阪,株式会社 LDH kitchen,550-0015,大阪府大阪市西区南堀江3-9-11 堀江家具新館ビル1F,,,,06-6606-9896,,95,林(香),30717,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,3 振込,1 個別単価,,,3,2020/12/4,2023/10/2
30715,エルディーエイチキッチンサイバーゼット,株式会社 LDH kitchen AMAZING COFFEE CyberZ,株式会社 LDH kitchen,150-6121,東京都渋谷区渋谷2-24-12渋谷スクランブルスクエア 23階,,,,090-98691684(片,,95,林(香),30717,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,3 振込,1 個別単価,,,3,2020/12/4,2023/10/2
30716,エルディーエイチキッチンアベマタワーズ,株式会社 LDH kitchen AMAZING COFFEE Abema Towers,株式会社 LDH kitchen,150-0042,東京都渋谷区宇田川町40番1号 Abema Towers 11階 AMAZING COFFEE,,,, 090-98691684(片,,95,林(香),30717,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,3 振込,1 個別単価,,,3,2020/12/4,2023/10/2
30717,エルディーエイチキッチンアメージングコー,株式会社LDH kitchen AMAZING COFFEE,株式会社LDH kitchen,153-0042,東京都目黒区青葉台1-25-6JUJAPANAOBADAI　4F,,, 旧 東京都目黒区東山1-21-22 リヴィエラマンション4A,03-5734-1105,03-5734-1106,95,林(香),30717,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,3 振込,1 個別単価,,,3,2020/12/4,2023/10/2
30719,マイファーム,株式会社　マイファーム,株式会社 ﾏｲﾌｧｰﾑ,108-0073,東京都港区三田2-14-5フロイントゥ三田ビル506号,,,,03-6264-7400,03-6264-7401,690,金城,30719,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,3 振込,1 個別単価,,,3,2020/12/17,2023/10/2
30720,カンブツセイカツ,合同会社　かんぶつ生活,合同会社かんぶつ生活,104-0045,東京都中央区築地4-14-18江戸市ビル1F,,,伊藤海苔店,03-6264-3835,047-321-6110,91,下平,30720,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,4 手形,1 個別単価,,,3,2020/12/22,2023/10/2
30721,イケハタメイチャホンポ,合資会社　池畑銘茶本舗,合資会社 池畑銘茶本,669-3309,兵庫県丹波市柏原町柏原124番地,,,,0795-72-3121,,690,金城,30721,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,1,2020/12/24,2024/2/17
30722,アマゾン・ドットコム・インク,Amazon.com Inc,Amazon.com Inc,,410 Terry Avenue North Seattle WA 98109-5210 USA,,,,206 266-1000,,98,ラファエル,30722,1 売掛,4 無処理,3 切り上げ,4 無処理,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,3,2020/12/25,2023/10/2
30723,オニガワラ,鬼瓦,鬼瓦,104-0042,東京都中央区入船1-9-6,,,,080-8051-5957,,95,林(香),30723,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,3,2020/12/31,2023/10/2
30724,ｺﾞｳﾄﾞｳｶﾞｲｼｬ ｵｸﾄﾊﾟｽｵｸﾄﾊﾟｽ,合同会社　オクトパス,合同会社　オクトパス,899-7104,鹿児島県志布志市志布志町安楽190-130,,,旧　シブシス合同会社,090-1713-3872,,690,金城,30724,1 売掛,2 伝票単位,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,3,2021/1/8,2025/4/9
30725,ヒルズダイニング,ヒルズdining,ﾋﾙｽﾞdining,104-0061,東京都中央区銀座4-3-7　スバルビル2F,,,,03-3562-5015,,95,林(香),30725,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,3 振込,1 個別単価,,,3,2021/1/8,2023/10/2
30728,ツバメクリエイト,株式会社ツバメクリエイト,株式会社ツバメクリエ,154-0017,東京都世田谷区世田谷1-28-12グランデュオ世田谷14 １階,カフェ ヤスクーカ,,,080-3785-1949,,690,金城,30728,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,2,2021/2/18,2024/2/17
30729,ミョウジュドウヤッキョク,妙壽堂薬局,妙壽堂薬局,895-0025,鹿児島県薩摩川内市 向田町1380-2,,,,0996-20-3228,,690,金城,30729,1 売掛,2 伝票単位,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,3,2021/2/18,2023/10/2
30731,カゴシマケントクサンヒンキョウカイ,公益社団法人 鹿児島県特産品協会,鹿児島県特産品協会,892-0828,鹿児島市金生町6-6,よかど鹿児島　本店ビル2階,,,099-223-9177,,690,金城,30731,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,3,2021/2/27,2024/6/26
30732,オプカリス,オプカリス株式会社,オプカリス株式会社,140-0002,東京都品川区東品川1-28-7,,,,080-9536-3260,,95,林(香),30732,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,3,2021/3/5,2024/9/5
30734,ニシフクセイチャ,西福製茶株式会社,西福製茶株式会社,812-0011,福岡県福岡市博多区博多駅前1-24-14,,,,092-431-3349,,690,金城,30734,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,3,2021/3/22,2024/9/5
30736,オニカイプラスワン,おにかい＋１,おにかい＋１,153-0051,東京都目黒区上目黒3-9-5 プラージュ・メグロ303,,,,03-3712-5211,,95,林(香),30736,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,3,2021/3/26,2024/2/17
